Timestamp,Do you use the standard library’s lock types (Mutex or RwLock) in any of your projects?,Do you use locks from outside the standard library (such as from antidote or parking_lot) in any of your projects?,Which of these is closest to how you acquire locks? (Select all that apply),Have you ever thought carefully about lock poisoning in your projects?,"If so, what do you want to happen when a lock is poisoned? (Select all that apply)",Do you think you’ve benefited from the standard library’s lock types providing poisoning by default?,Do you use the standard library’s lock types or their guards in the public API of any of your projects?,"If so, what’s an example of how the standard library’s lock or guard types appear in the public API of any of your projects? (Please keep accidental information leakage in mind here and consider replacing names with placeholders)",How much friction do you think would be involved in migrating any of your projects from the standard library’s poisoning lock types to a non-poisoning lock crate like antidote or parking_lot? (That would mean replacing .lock().unwrap() with .lock()),Why do you use locks from outside the standard library? (Select all that apply),Do you implement poisoning some other way?,"If so, what do you want to happen when data is poisoned? (Select all that apply)",Would you use a poisoning implementation from the standard library if it was independent of Mutex or RwLock?
2020/12/12 8:23:19 AM GMT+11,Yes,Yes,.lock().unwrap();.lock()?,No,I want my program to terminate;I never want to access the data again,Yes,No,,A manageable amount,To avoid having to write .lock.unwrap();For performance;const fn,No,,Yes
2020/12/12 8:23:37 AM GMT+11,Yes,Yes,.lock()?,Yes,I want to access the data again;I want to check and fix the data;I never want to access the data again,Yes,No,,A manageable amount,For performance,Yes,"Typically I will want to re-initialize the resource. ""Data"" doesn't typically apply for me, I'm usually working with a network connection or some sort of fs handle",Yes
2020/12/12 8:23:42 AM GMT+11,Yes,Yes,.lock().unwrap();.lock().unwrap_or_else(PoisonGuard::into_inner),Yes,I want my program to terminate;I never want to access the data again,Yes,No,,A manageable amount,For performance;For async/await,No,,Yes
2020/12/12 8:23:55 AM GMT+11,Yes,Yes,.lock().unwrap(),No,I want my program to terminate,,No,,None,To avoid having to write .lock.unwrap(),No,,
2020/12/12 8:26:56 AM GMT+11,Yes,No,.lock().unwrap();.lock()?,Yes,I want to check and fix the data,Yes,No,,A manageable amount,,,,
2020/12/12 8:28:48 AM GMT+11,Yes,Yes,.lock().unwrap(),No,,No,No,,A manageable amount,For performance,No,,No
2020/12/12 8:29:07 AM GMT+11,Yes,Yes,.lock().unwrap();.lock()?,No,I never want my program to terminate;I want to check and fix the data,Yes,No,,A manageable amount,For performance,No,,Yes
2020/12/12 8:30:12 AM GMT+11,Yes,Yes,.lock().unwrap(),No,I want my program to terminate,Yes,No,,None,For async/await,No,I want my program to terminate,Yes
2020/12/12 8:30:22 AM GMT+11,Yes,Yes,.lock().unwrap(),Yes,I want my program to terminate,No,No,,None,To avoid having to write .lock.unwrap();For performance;For no-std;For async/await,No,,Yes
2020/12/12 8:30:24 AM GMT+11,Yes,Yes,.lock().unwrap(),No,,No,No,,None,To avoid having to write .lock.unwrap();For performance;For async/await,No,,Yes
2020/12/12 8:30:35 AM GMT+11,Yes,No,.lock().unwrap(),No,,Yes,No,,A manageable amount,,No,,Yes
2020/12/12 8:30:45 AM GMT+11,Yes,No,.lock().unwrap();.lock()?,No,I want to access the data again;I want to check and fix the data,No,Yes,,None,,,,
2020/12/12 8:32:04 AM GMT+11,Yes,Yes,.lock().unwrap();.lock()?,No,I have never considered this behavior,No,No,,A manageable amount,To avoid having to write .lock.unwrap();For performance,No,,No
2020/12/12 8:34:33 AM GMT+11,No,Yes,.lock()?;just lock(); - mutexes dont fail,No,I never want my program to terminate,No,No,,None,To avoid having to write .lock.unwrap();For performance,No,,No
2020/12/12 8:37:36 AM GMT+11,Yes,Yes,.lock().unwrap(),Yes,I want my program to terminate;I never want to access the data again,No,No,,A manageable amount,For async/await,No,,Yes
2020/12/12 8:39:12 AM GMT+11,Yes,Yes,.lock().unwrap();.lock()?,No,I want my program to terminate;I want to access the data again,No,No,,None,To avoid having to write .lock.unwrap();For performance;For async/await,No,,Yes
2020/12/12 8:40:36 AM GMT+11,Yes,Yes,.lock().unwrap();.lock()?;.lock().unwrap_or_else(PoisonGuard::into_inner),Yes,I want my program to terminate;I want to access the data again;I want to check and fix the data,Yes,No,,None,For performance;For no-std;For async/await,No,,Yes
2020/12/12 8:41:02 AM GMT+11,Yes,No,.lock()?,No,I never want to access the data again,Yes,Yes,,A manageable amount,For async/await,No,I never want to access the data again,Yes
2020/12/12 8:45:38 AM GMT+11,Yes,No,.lock().unwrap();.lock()?,No,I want my program to terminate,Yes,No,,A manageable amount,,,,
2020/12/12 8:45:53 AM GMT+11,Yes,No,.lock().unwrap(),No,I never want to access the data again,Yes,No,,A manageable amount,,,,
2020/12/12 8:46:52 AM GMT+11,Yes,Yes,.lock().unwrap(),No,I never want my program to terminate,No,No,,A manageable amount,For performance;For async/await,No,I never want my program to terminate;I want to access the data again,No
2020/12/12 8:47:05 AM GMT+11,No,Yes,,,,,,,,To avoid having to write .lock.unwrap();For performance;For no-std,Yes,I want my program to terminate,No
2020/12/12 8:49:01 AM GMT+11,Yes,Yes,.lock().unwrap();matching/if let => noop on poison,No,"program termination should be explicit, not implicit, even if it is usually what I wanted",Yes,No,,A manageable amount,For performance,No,,No
2020/12/12 8:50:19 AM GMT+11,No,Yes,.lock().unwrap();.lock()?,Yes,I want my program to terminate;I never want my program to terminate,No,No,,None,To avoid having to write .lock.unwrap();For performance;For async/await,No,,No
2020/12/12 8:50:45 AM GMT+11,Yes,No,.lock().unwrap();.lock().unwrap_or_else(PoisonGuard::into_inner),Yes,I want to check and fix the data,No,Yes,It maintains state of a multithreaded websocket server,A manageable amount,To avoid having to write .lock.unwrap(),No,I want to check and fix the data,Yes
2020/12/12 8:51:44 AM GMT+11,Yes,Yes,.lock()?,No,,No,No,,None,For performance,No,I want my program to terminate,No
2020/12/12 8:52:30 AM GMT+11,Yes,No,.lock().unwrap(),No,I never want my program to terminate;I want to access the data again;I want to check and fix the data,No,No,,A manageable amount,,No,,Yes
2020/12/12 8:54:25 AM GMT+11,No,Yes,.lock().unwrap(),No,,,,,,To avoid having to write .lock.unwrap();For performance,No,,No
2020/12/12 8:59:30 AM GMT+11,Yes,Yes,.lock().unwrap(),Yes,I want my program to terminate;I want to access the data again;I never want to access the data again,No,No,,None,To avoid having to write .lock.unwrap();For async/await,No,I want my program to terminate;I want to access the data again;I never want to access the data again,Yes
2020/12/12 9:00:31 AM GMT+11,Yes,Yes,.lock().unwrap(),No,,No,No,,None,To avoid having to write .lock.unwrap();For performance,No,I want my program to terminate,No
2020/12/12 9:00:33 AM GMT+11,Yes,No,.lock().unwrap(),Yes,I want my program to terminate;I never want to access the data again,No,,,None,,,,
2020/12/12 9:01:08 AM GMT+11,No,Yes,.lock().unwrap(),No,I want my program to terminate;I never want to access the data again,No,No,,None,To avoid having to write .lock.unwrap();For performance,No,,No
2020/12/12 9:04:16 AM GMT+11,Yes,No,.lock().unwrap();.lock().unwrap_or_else(PoisonGuard::into_inner),Yes,I want to check and fix the data,No,No,,A manageable amount,For async/await,No,I never want my program to terminate;I want to check and fix the data,No
2020/12/12 9:05:39 AM GMT+11,Yes,No,.lock().unwrap(),Yes,I want my program to terminate;I never want to access the data again,Yes,No,,A manageable amount,For async/await,No,I want my program to terminate,Yes
2020/12/12 9:07:15 AM GMT+11,Yes,No,.lock().unwrap_or_else(PoisonGuard::into_inner),No,I want my program to terminate;I never want my program to terminate;I want to check and fix the data;I never want to access the data again,No,No,,A manageable amount,,,,
2020/12/12 9:08:42 AM GMT+11,Yes,Yes,.lock().unwrap();.lock().await,No,,No,No,,None,For async/await,No,,Yes
2020/12/12 9:11:22 AM GMT+11,Yes,No,.lock().unwrap(),No,,No,No,,None,To avoid having to write .lock.unwrap();For performance,No,,No
2020/12/12 9:12:29 AM GMT+11,Yes,No,.lock().unwrap(),Yes,I never want my program to terminate;I never want to access the data again,Yes,No,,A manageable amount,,,,
2020/12/12 9:13:51 AM GMT+11,Yes,Yes,.lock().unwrap();.lock()?,Yes,I want my program to terminate;I never want my program to terminate;I never want to access the data again,Yes,No,,A manageable amount,,No,,
2020/12/12 9:14:46 AM GMT+11,Yes,Yes,.lock().unwrap();.lock()?,No,I want my program to terminate;I never want my program to terminate;I want to check and fix the data,No,No,,None,To avoid having to write .lock.unwrap();For performance;For async/await,No,,Yes
2020/12/12 9:17:51 AM GMT+11,Yes,No,.lock()?,Yes,I never want my program to terminate;I want to access the data again;I want to check and fix the data,No,No,,None,,No,,Yes
2020/12/12 9:18:02 AM GMT+11,Yes,No,.lock().unwrap(),Yes,I want my program to terminate,Yes,No,,A manageable amount,,,,
2020/12/12 9:18:17 AM GMT+11,Yes,No,.lock().unwrap(),No,I want my program to terminate,No,No,,A manageable amount,,,,
2020/12/12 9:20:32 AM GMT+11,Yes,Yes,.lock().unwrap(),No,,No,No,,A manageable amount,For performance;For async/await,No,,No
2020/12/12 9:20:42 AM GMT+11,Yes,No,.lock().unwrap(),No,I want my program to terminate,Yes,No,,A manageable amount,,,,Yes
2020/12/12 9:23:42 AM GMT+11,Yes,Yes,.lock().unwrap();.lock()?,Yes,It depends if I know whether the data can be left in an invalid state in the first place,Yes,No,,A manageable amount,To avoid having to write .lock.unwrap();For async/await,No,,No
2020/12/12 9:25:29 AM GMT+11,Yes,No,.lock().unwrap(),No,I want to access the data again,Yes,No,,None,,,,Yes
2020/12/12 9:28:32 AM GMT+11,No,Yes,.lock().unwrap(),No,I want my program to terminate,No,No,,None,For performance;For no-std;For async/await,No,,No
2020/12/12 9:29:14 AM GMT+11,Yes,No,.lock().unwrap(),No,I want to check and fix the data;I never want to access the data again,No,No,,None,,,,
2020/12/12 9:31:33 AM GMT+11,No,Yes,,,,,,,,For performance;For async/await,No,I never want my program to terminate;I want to check and fix the data;I never want to access the data again,
2020/12/12 9:32:21 AM GMT+11,Yes,No,.lock().unwrap(),No,,No,No,,None,,No,,Yes
2020/12/12 9:34:01 AM GMT+11,Yes,No,.lock()?,No,,No,No,,None,,,,
2020/12/12 9:34:17 AM GMT+11,Yes,No,.lock().unwrap(),No,,No,No,,None,,,,
2020/12/12 9:35:53 AM GMT+11,Yes,Yes,.lock().unwrap(),No,I want to access the data again,No,No,,None,For async/await,No,I never want my program to terminate;I want to access the data again,Yes
2020/12/12 9:36:22 AM GMT+11,Yes,Yes,.lock().unwrap(),No,I want my program to terminate,Yes,No,,None,because a dependency requires using them,No,,Yes
2020/12/12 9:37:16 AM GMT+11,Yes,Yes,.lock()?,No,I never want my program to terminate;I want to access the data again,No,No,,None,To avoid having to write .lock.unwrap();For async/await,No,,No
2020/12/12 9:37:22 AM GMT+11,Yes,Yes,.lock().unwrap();.lock()?,No,,No,No,,None,For async/await,No,,No
2020/12/12 9:38:51 AM GMT+11,No,Yes,.lock()?,No,I never want my program to terminate;I never want to access the data again,No,No,,None,For performance;For async/await,No,,No
2020/12/12 9:39:00 AM GMT+11,Yes,Yes,.lock().unwrap();.lock()?,No,I want my program to terminate,No,No,,A manageable amount,To avoid having to write .lock.unwrap();For performance,No,,Yes
2020/12/12 9:41:57 AM GMT+11,Yes,No,.lock().unwrap(),Yes,I want my program to terminate,Yes,No,,None,,,,
2020/12/12 9:41:58 AM GMT+11,Yes,Yes,.lock().unwrap(),No,I want to access the data again,No,No,,A manageable amount,To avoid having to write .lock.unwrap();For performance,No,I want my program to terminate;I want to access the data again,No
2020/12/12 9:44:57 AM GMT+11,Yes,No,.lock().unwrap(),No,I want my program to terminate;I want to check and fix the data,No,No,,None,,,,Yes
2020/12/12 9:45:41 AM GMT+11,Yes,Yes,.lock().unwrap(),No,I want my program to terminate,No,No,,None,For performance,No,I want my program to terminate,Yes
2020/12/12 9:49:43 AM GMT+11,Yes,No,.lock().unwrap(),Yes,I want my program to terminate;I never want to access the data again,No,No,,None,,,,
2020/12/12 9:50:08 AM GMT+11,Yes,Yes,.lock().unwrap();.lock()?,Yes,I want my program to terminate,No,No,,A manageable amount,To avoid having to write .lock.unwrap();For performance;For async/await,No,I never want to access the data again,No
2020/12/12 9:51:14 AM GMT+11,Yes,No,.lock().unwrap(),No,I want my program to terminate;I never want to access the data again,No,No,,None,,,I want my program to terminate;I never want to access the data again,Yes
2020/12/12 9:54:15 AM GMT+11,Yes,Yes,.lock().unwrap(),No,I want my program to terminate;I never want to access the data again,No,No,,A manageable amount,For performance;For async/await,No,I want my program to terminate;I never want to access the data again,Yes
2020/12/12 9:56:21 AM GMT+11,Yes,No,.lock()?,No,,No,No,,A manageable amount,,,,
2020/12/12 9:58:08 AM GMT+11,Yes,Yes,.lock().unwrap();.lock()?,No,,Yes,Yes,Wrapped I side my error types,A manageable amount,For async/await,No,,Yes
2020/12/12 9:58:31 AM GMT+11,No,Yes,.lock().unwrap(),No,I want to access the data again;I don't want the lock to get poisoned,No,No,,None,To avoid having to write .lock.unwrap();For performance;For async/await,No,,No
2020/12/12 9:59:47 AM GMT+11,Yes,No,.lock().unwrap(),No,I want my program to terminate;I want to check and fix the data,Yes,No,,A manageable amount,,,,
2020/12/12 10:00:17 AM GMT+11,Yes,No,.lock().unwrap(),Yes,I want my program to terminate,No,No,,A manageable amount,,No,I want my program to terminate,No
2020/12/12 10:00:22 AM GMT+11,Yes,Yes,.lock().unwrap(),No,,No,No,,A manageable amount,For performance,No,I never want to access the data again,No
2020/12/12 10:02:03 AM GMT+11,Yes,No,.lock().unwrap(),No,I want my program to terminate,No,No,,A manageable amount,,,,
2020/12/12 10:02:37 AM GMT+11,No,Yes,.lock()?,Yes,I want my program to terminate,No,No,,None,To avoid having to write .lock.unwrap();For async/await,No,,No
2020/12/12 10:02:50 AM GMT+11,Yes,Yes,.lock()?,No,I want my program to terminate;I never want to access the data again,No,No,,A manageable amount,For performance;For no-std,No,,No
2020/12/12 10:03:30 AM GMT+11,Yes,No,.lock().unwrap(),No,I want my program to terminate;I want to access the data again;I want to check and fix the data,Yes,,,A manageable amount,,,,
2020/12/12 10:04:17 AM GMT+11,No,Yes,.lock().unwrap(),Yes,I want my program to terminate,No,No,,,To avoid having to write .lock.unwrap();For performance;For async/await,No,I want my program to terminate,
2020/12/12 10:06:59 AM GMT+11,Yes,Yes,.lock().unwrap(),No,I want my program to terminate,No,No,,None,To avoid having to write .lock.unwrap();For performance;For no-std;For async/await,No,,No
2020/12/12 10:09:05 AM GMT+11,Yes,Yes,.lock().unwrap();.lock()?,No,I want my program to terminate,No,No,,A manageable amount,To avoid having to write .lock.unwrap(),Yes,I want my program to terminate,Yes
2020/12/12 10:10:59 AM GMT+11,Yes,Yes,.lock().unwrap();.lock()?,No,,,,,,To avoid having to write .lock.unwrap();For performance,No,,Yes
2020/12/12 10:11:54 AM GMT+11,Yes,Yes,.lock().unwrap_or_else(PoisonGuard::into_inner),Yes,I want my program to terminate,No,No,,None,For no-std;For async/await,No,,Yes
2020/12/12 10:12:52 AM GMT+11,Yes,No,.lock().unwrap();.lock()?,No,I never want my program to terminate;I never want to access the data again,Yes,No,,A manageable amount,,,,Yes
2020/12/12 10:13:18 AM GMT+11,No,Yes,,,,,,,,To avoid having to write .lock.unwrap();For performance;For no-std;For async/await,No,I want my program to terminate,Yes
2020/12/12 10:13:39 AM GMT+11,Yes,No,.lock().unwrap(),No,I want my program to terminate;I never want my program to terminate;I want to check and fix the data,Yes,No,,A manageable amount,,No,,Yes
2020/12/12 10:14:32 AM GMT+11,No,Yes,.lock().unwrap(),Yes,I want my program to terminate,No,No,,A manageable amount,For performance,No,I want my program to terminate,No
2020/12/12 10:14:50 AM GMT+11,Yes,No,.lock().unwrap(),No,I want my program to terminate,Yes,No,,A manageable amount,,,,Yes
2020/12/12 10:18:41 AM GMT+11,Yes,No,.lock()?,No,,No,No,,A manageable amount,For async/await,No,I want to access the data again,No
2020/12/12 10:19:18 AM GMT+11,Yes,Yes,.lock().unwrap(),Yes,I want my program to terminate;I never want my program to terminate;I want to access the data again;I never want to access the data again,Yes,Yes,,None,To avoid having to write .lock.unwrap();For performance;For async/await,No,,Yes
2020/12/12 10:19:42 AM GMT+11,Yes,Yes,.lock().unwrap(),Yes,I want my program to terminate,No,No,,A manageable amount,For performance;For no-std,No,I want my program to terminate;I never want to access the data again,
2020/12/12 10:20:02 AM GMT+11,Yes,No,.lock().unwrap(),No,I want my program to terminate;I want to check and fix the data;I never want to access the data again,No,No,,A manageable amount,For no-std,No,I want my program to terminate;I want to check and fix the data;I never want to access the data again,Yes
2020/12/12 10:20:08 AM GMT+11,No,Yes,.lock()?,No,I want to access the data again;I want to check and fix the data,No,No,,None,To avoid having to write .lock.unwrap(),No,I want to access the data again;I want to check and fix the data,Yes
2020/12/12 10:21:44 AM GMT+11,Yes,Yes,.lock().unwrap(),No,I want my program to terminate,No,No,,A manageable amount,To avoid having to write .lock.unwrap();For performance;For async/await,No,I want my program to terminate,No
2020/12/12 10:22:34 AM GMT+11,Yes,Yes,.lock().unwrap();.lock()?,Yes,I never want my program to terminate;I want to access the data again,No,No,,None,To avoid having to write .lock.unwrap();For performance;For async/await,No,,No
2020/12/12 10:22:58 AM GMT+11,Yes,No,.lock().unwrap(),No,,Yes,No,,None,,No,,Yes
2020/12/12 10:24:33 AM GMT+11,Yes,Yes,.lock().unwrap();.lock()?,No,I never want my program to terminate;I want to check and fix the data,No,No,,None,For performance,No,,No
2020/12/12 10:25:48 AM GMT+11,Yes,No,.lock().unwrap(),Yes,I want my program to terminate,Yes,No,,None,For no-std,No,,Yes
2020/12/12 10:25:52 AM GMT+11,No,Yes,,,,,,,,For async/await,No,,No
2020/12/12 10:28:47 AM GMT+11,Yes,Yes,.lock().unwrap(),Yes,I want my program to terminate,No,No,,A manageable amount,To avoid having to write .lock.unwrap();For performance,No,I want my program to terminate,No
2020/12/12 10:29:05 AM GMT+11,Yes,Yes,.lock().unwrap(),No,I never want my program to terminate;I want to check and fix the data,Yes,No,,A manageable amount,Missing features in std,No,I never want my program to terminate;I want to check and fix the data,Yes
2020/12/12 10:32:49 AM GMT+11,Yes,No,.lock().unwrap(),No,,No,No,,A manageable amount,,,,
2020/12/12 10:35:55 AM GMT+11,No,Yes,.lock(),No,I want my program to terminate,No,No,,None,To avoid having to write .lock.unwrap(),No,I want my program to terminate,Yes
2020/12/12 10:36:13 AM GMT+11,Yes,No,.lock().unwrap(),No,I want my program to terminate;I want to check and fix the data,Yes,,,A manageable amount,,,,
2020/12/12 10:37:07 AM GMT+11,Yes,Yes,.lock().unwrap();.lock()?,No,,,No,,None,To avoid having to write .lock.unwrap();For async/await,No,,
2020/12/12 10:37:21 AM GMT+11,Yes,Yes,.lock().unwrap(),No,I want my program to terminate,Yes,No,,A manageable amount,For performance;For async/await,No,I want my program to terminate,Yes
2020/12/12 10:38:32 AM GMT+11,No,Yes,,,,,,,,To avoid having to write .lock.unwrap();For performance;For no-std,No,,No
2020/12/12 10:39:11 AM GMT+11,No,No,,,,,,,,,,,
2020/12/12 10:42:16 AM GMT+11,No,No,,,,,,,,,,,
2020/12/12 10:43:19 AM GMT+11,Yes,Yes,.lock().unwrap(),No,I want my program to terminate;I never want to access the data again,Yes,No,,A manageable amount,For performance;upstream libraries use it in their API,No,I want my program to terminate;I never want to access the data again,Yes
2020/12/12 10:45:46 AM GMT+11,Yes,No,.lock().unwrap(),No,I want my program to terminate,Yes,No,,None,,No,,No
2020/12/12 10:48:06 AM GMT+11,Yes,No,.lock().unwrap(),No,I want my program to terminate;I never want to access the data again,,No,,A manageable amount,,,,
2020/12/12 10:51:44 AM GMT+11,Yes,No,.lock().unwrap(),No,,No,No,,None,,,,
2020/12/12 10:52:10 AM GMT+11,Yes,Yes,.lock().unwrap();.lock()?,No,I want my program to terminate,Yes,No,,A manageable amount,For performance;For async/await,No,,No
2020/12/12 10:53:08 AM GMT+11,Yes,No,.lock().unwrap(),No,I want my program to terminate;I never want to access the data again,No,No,,A manageable amount,,No,I want my program to terminate;I never want to access the data again,Yes
2020/12/12 10:53:29 AM GMT+11,No,Yes,.lock()?,Yes,I want my program to terminate,No,No,,None,For performance,No,,No
2020/12/12 10:53:40 AM GMT+11,No,Yes,.lock().unwrap();.lock()?,No,,No,No,,None,For performance;For async/await,No,I never want my program to terminate;I want to access the data again;I want to check and fix the data,Yes
2020/12/12 10:58:04 AM GMT+11,Yes,No,.lock().unwrap(),No,I want my program to terminate,Yes,No,,A manageable amount,,,,
2020/12/12 10:59:30 AM GMT+11,Yes,No,.lock().unwrap(),No,I want my program to terminate,Yes,No,,A manageable amount,,,,
2020/12/12 11:01:03 AM GMT+11,Yes,Yes,.lock().unwrap(),Yes,I want to access the data again;I want to check and fix the data,No,No,,A manageable amount,To avoid having to write .lock.unwrap();For no-std,No,,Yes
2020/12/12 11:03:18 AM GMT+11,Yes,Yes,.lock().unwrap(),No,I want my program to terminate,Yes,No,,None,For async/await,No,,No
2020/12/12 11:04:09 AM GMT+11,Yes,Yes,.lock().unwrap(),Yes,I want my program to terminate;I never want to access the data again,No,No,,None,To avoid having to write .lock.unwrap();For no-std,No,,Yes
2020/12/12 11:04:10 AM GMT+11,Yes,No,.lock().unwrap_or_else(PoisonGuard::into_inner),Yes,I want my program to terminate;I want to check and fix the data,Yes,No,,A manageable amount,,No,,Yes
2020/12/12 11:05:58 AM GMT+11,Yes,Yes,.lock().unwrap(),No,,No,No,,A manageable amount,For async/await,No,I want to check and fix the data,Yes
2020/12/12 11:06:35 AM GMT+11,Yes,No,.lock().unwrap(),Yes,I want my program to terminate,No,No,,A manageable amount,I don't,No,I want my program to terminate,No
2020/12/12 11:07:42 AM GMT+11,Yes,Yes,.lock().unwrap();.lock()?,No,I want to check and fix the data,No,No,,A manageable amount,For performance;For async/await,No,,No
2020/12/12 11:07:47 AM GMT+11,Yes,No,.lock().unwrap(),Yes,I want my program to terminate,Yes,No,,None,,No,,Yes
2020/12/12 11:12:28 AM GMT+11,Yes,Yes,.lock().unwrap(),No,I want my program to terminate;I never want to access the data again,No,No,,A manageable amount,For performance;For no-std,No,I want my program to terminate;I never want to access the data again,No
2020/12/12 11:14:27 AM GMT+11,Yes,Yes,.lock().unwrap();.lock()?,No,,No,No,,A manageable amount,For performance;For no-std;For async/await,Yes,I want my program to terminate;I want to check and fix the data,No
2020/12/12 11:14:47 AM GMT+11,Yes,Yes,.lock().unwrap(),No,I want my program to terminate,No,No,,A manageable amount,To avoid having to write .lock.unwrap();For performance,No,,No
2020/12/12 11:16:44 AM GMT+11,Yes,No,.lock().unwrap(),No,I want my program to terminate,No,No,,A manageable amount,,,,
2020/12/12 11:16:55 AM GMT+11,Yes,Yes,.lock().unwrap(),No,I never want to access the data again,Yes,No,,None,For performance;For async/await,No,I never want to access the data again,Yes
2020/12/12 11:17:22 AM GMT+11,Yes,Yes,.lock().unwrap(),No,I want my program to terminate;I use panic=abort so I never have poisoned locks,No,No,,A manageable amount,For performance,No,I use panic=abort so this is not an issue,No
2020/12/12 11:20:57 AM GMT+11,Yes,No,.lock().unwrap(),Yes,I want my program to terminate;I want to check and fix the data,No,No,,A manageable amount,,,,
2020/12/12 11:25:24 AM GMT+11,Yes,Yes,.lock().unwrap(),No,,No,No,,None,To avoid having to write .lock.unwrap();For performance,No,,No
2020/12/12 11:25:30 AM GMT+11,Yes,Yes,.lock().unwrap(),Yes,I want my program to terminate,No,No,,None,For performance;For no-std,No,,No
2020/12/12 11:25:58 AM GMT+11,Yes,Yes,.lock().unwrap(),Yes,I want my program to terminate,No,No,,A manageable amount,To avoid having to write .lock.unwrap(),No,,Yes
2020/12/12 11:26:43 AM GMT+11,Yes,Yes,.lock().unwrap();.lock()?,No,I never want to access the data again,No,No,,A manageable amount,For performance,No,,No
2020/12/12 11:30:58 AM GMT+11,Yes,Yes,.lock().unwrap();.lock()?,No,,No,No,,None,To avoid having to write .lock.unwrap();For performance;For async/await,No,,Yes
2020/12/12 11:31:29 AM GMT+11,Yes,Yes,.lock().unwrap(),No,I never want my program to terminate;I never want to access the data again,No,No,,None,To avoid having to write .lock.unwrap();For performance;For async/await,No,,No
2020/12/12 11:33:45 AM GMT+11,Yes,No,.lock()?,Yes,I want my program to terminate,No,No,,A manageable amount,,No,,Yes
2020/12/12 11:36:00 AM GMT+11,Yes,Yes,.lock().unwrap(),No,,No,Yes,,None,For performance;For no-std;For async/await,No,,
2020/12/12 11:36:13 AM GMT+11,Yes,No,.lock().unwrap();.lock()?,Yes,I want my program to terminate,No,No,,None,For async/await,No,I want my program to terminate,Yes
2020/12/12 11:40:22 AM GMT+11,Yes,Yes,.lock().unwrap(),No,,No,No,,A manageable amount,To avoid having to write .lock.unwrap();For performance,Yes,Situational,No
2020/12/12 11:41:32 AM GMT+11,Yes,No,.lock().unwrap(),Yes,I want to check and fix the data,No,No,,None,,,,
2020/12/12 11:44:56 AM GMT+11,Yes,No,.lock().unwrap(),No,I want my program to terminate,No,No,,None,,,,
2020/12/12 11:46:05 AM GMT+11,Yes,No,.lock().unwrap(),No,I never want my program to terminate;I never want to access the data again,Yes,Yes,,Too much,For performance;For no-std,No,,Yes
2020/12/12 11:47:42 AM GMT+11,Yes,Yes,.lock().unwrap(),No,I want my program to terminate,Yes,No,,A manageable amount,For performance;For async/await,No,,Yes
2020/12/12 11:50:53 AM GMT+11,Yes,No,.lock().unwrap(),Yes,I never want my program to terminate;I want to access the data again,No,No,,A manageable amount,To avoid having to write .lock.unwrap();For performance;For async/await,No,,No
2020/12/12 11:51:39 AM GMT+11,Yes,Yes,.lock().unwrap();.lock()?,No,I want my program to terminate,No,Yes,I'm too high to understand this,None,For performance;For async/await,No,I want my program to terminate,No
2020/12/12 12:03:25 PM GMT+11,Yes,Yes,.lock().unwrap(),No,I want my program to terminate,No,No,,None,For no-std,No,,Yes
2020/12/12 12:05:21 PM GMT+11,No,No,,No,,Yes,No,,,,,,
2020/12/12 12:05:55 PM GMT+11,Yes,Yes,.lock().unwrap(),No,I want my program to terminate,No,No,,None,For no-std;For async/await,No,,No
2020/12/12 12:05:59 PM GMT+11,No,Yes,.lock().unwrap(),No,I want my program to terminate;I never want to access the data again,No,No,,None,To avoid having to write .lock.unwrap();For performance,No,I want my program to terminate;I never want to access the data again,Yes
2020/12/12 12:07:31 PM GMT+11,Yes,Yes,.lock().unwrap(),No,I want my program to terminate,Yes,Yes,Arc<Mutex<Thingy>>,Too much,For performance,No,I want my program to terminate,Yes
2020/12/12 12:10:30 PM GMT+11,Yes,No,.lock().unwrap();.lock()?,No,,Yes,Yes,"Caveat: the ""public API"" of my projects has a sole consumer of myself (and maaybe a couple if close friends). It's not on crates.io or similar.

Occasionally I use getters `fn get_foo(&self)->&Foo`.
Then sometimes I happen to refactor the code to make it work in multithreaded environment and that puts the Foo behind a mutex. Naturally, I can no longer return a reference (nor a guard, because borrow checker), so I'm returning a &Mutex.
That's still somewhat awkward though, since i cannot easily return references to sub-fields of Foo... 

That said, so far it's not been too big of a deal, just a minor annoyance.
I think at least once I did some RefCell hackery to hide the mutex from the API, but 1) this was more of a test to see if i can than a solving an actual problem and 2) I cannot really recall the specifics right now..",None,,No,,
2020/12/12 12:12:34 PM GMT+11,Yes,No,.lock().unwrap(),Yes,I want my program to terminate,Yes,No,,A manageable amount,,No,,Yes
2020/12/12 12:14:46 PM GMT+11,Yes,Yes,.lock().unwrap(),No,I want my program to terminate;I never want to access the data again,No,No,,None,To avoid having to write .lock.unwrap();For performance;For async/await,No,,No
2020/12/12 12:19:16 PM GMT+11,Yes,No,.lock().unwrap(),Yes,I want my program to terminate,Yes,No,,A manageable amount,,No,,Yes
2020/12/12 12:21:39 PM GMT+11,Yes,Yes,.lock().unwrap(),No,I want to access the data again,No,No,,None,To avoid having to write .lock.unwrap();For async/await,No,,No
2020/12/12 12:22:36 PM GMT+11,Yes,No,.lock().unwrap(),No,I want my program to terminate,No,No,,None,For async/await,No,I never want my program to terminate,No
2020/12/12 12:23:19 PM GMT+11,Yes,No,.lock().unwrap();.lock()?,No,,No,No,,A manageable amount,,,,
